ID,text,label,automated_readability_index,difficult_words,flesch_reading_ease,gunning_fog,words_per_sentence,reading_time,ppl,bright,cont,warm,colorf,sd,cd,td,diag_dom,rot,hpvb,vpvb,hcvb,vcvb,sat,clar
9594,"Such a big fan of Bodega Negra! I came here with four girls on a Saturday night for dinner and it was perfect. This place has a really good vibe and is perfect for dinner/drinks before a night out. The service here is also great - our server Lawrence was fun, nice and attentive. We each had one app, tacos and one drink and we got out of here for less than $50 per person. I had the Skirt Steak tacos, the Grilled Corn Salad and tried the Yuca Fries and the Sweet Plantains (plain without the cheese or crema) and everything was so good! I also asked for a custom tequila drink which was awesome. I would definitely recommend Bodegra Negra for a good group dinner that won't break the bank.",0,6.9,14,80.21,7.48,16.375,8.23,38.79753,127.32561111111112,69.14638618068746,0.2786777777777778,159.06488413532173,0.4950222222222222,53.56890017534636,2.868488871172332,-93.0,-93.0,-7.19322358318783,-18.369119234944577,-0.4245411327400479,-0.4372904129922408,135.6235,0.2598111111111111
15465,"Title: Hit and Miss at Local Eatery

As someone who works in the area, I've frequented this spot for their enticing happy hour, featuring half-priced appetizers and drink specials from 4-7pm on weekdays. The wings have always been a highlight for me; they're particularly delicious. However, my latest visit for takeout lunch left something to be desired. Upon entering the eerily empty establishment, I found myself without a greeting or immediate assistance. It was only at the bar where I found service, which was, regrettably, less than welcoming.

Despite the lackluster interaction, I ordered the honey BBQ wings, which lived up to my memories – they were generously sized and quite scrumptious, accompanied by the classic celery and carrot sides. Service, on the contrary, could use some serious attention, especially given the absence of other patrons during my visit.

I'll likely return for their happy hour offerings but will give their takeout service a pass in the future.",1,13.1,38,51.58,12.94,19.625,12.12,35.623623,84.12364196777344,82.80137520437142,0.68365478515625,133.68118475024713,0.84765625,140.7075900461064,11.558798688341383,-5.0,-81.0,-17.4805992439412,-8.92327762498067,-0.4518797974460427,-0.4840372083374598,19.407546997070312,0.1892852783203125
3721,"I recently dined at this gem of a Japanese restaurant which boasted a serene atmosphere paired with impeccable service. Their culinary prowess shined through a diverse menu, especially with their high-quality Japanese offerings. I was particularly impressed by their extensive sake selection, which provides an excellent opportunity for pairing and exploration.

Every quarter they refresh their menu with a special feature, a thoughtful touch that keeps the dining experience fresh and enticing. The highlight of my visit was the unique sake affogato—a delightful blend of homemade milk ice cream, coconut jelly, fruits, and beans. This dessert struck the perfect balance between sweetness and portion size.

The standout savory dish was the Japanese eel, cooked to perfection, and served atop a bed of wonderfully flavored rice. Both dishes left a lasting impression, and I eagerly anticipate my next visit to see what new experiences await on their ever-evolving menu.",1,14.0,47,52.7,13.62,18.5,12.08,34.312195,195.22947692871097,60.98139468467265,0.14569091796875,148.71483379837616,0.461456298828125,89.98742215204395,0.2398844629964927,-25.0,-61.0,-15.080140300860364,-13.399013032891077,-0.5090959379679535,-0.4613327058081433,127.51319885253906,0.713134765625
19513,"Title: A NYC Gem for Theatergoers

If you find yourself ravenous between theater shows and want both delicious and budget-friendly eats, this spot is a must-visit. For a mere $6-7, you can indulge in two scrumptious tacos, which is an absolute bargain in NYC. The salads, according to my friend's enthusiastic review, are equally delectable and well-priced at around $11. 

I personally savored the carne asada and chicken tacos, each packing a delightful spicy punch without overwhelming the palate. Additionally, the Brussels sprouts taco caught my eye and is on my list for next time. And for a humorous touch, check out their bathroom sign that playfully prohibits Instagramming mid-business. A quirky reminder that good food and good fun go hand in hand at this charming eatery.",1,11.9,27,61.56,11.65,18.142857142857142,9.61,53.37151,114.19407653808594,95.36530607986607,0.6530609130859375,178.0485865974765,0.0093994140625,166.63566154041706,9.24402364625164,-100.0,-100.0,-12.13481990233727,-10.608153602518712,-0.4603363037772514,-0.4876291244666256,142.87664794921875,0.3303375244140625
2284,"Title: A Sweet Symphony at Dessert Haven

Dessert aficionados, take note! When they say ""Dessert first,"" this charming spot takes it to heart. Every visit is a delightful surprise, thanks to their ever-changing seasonal offerings that keep your taste buds on their toes. Yet, amidst the novelty, the iconic 'plant' dessert remains a steadfast crown jewel.

What truly sets this eatery apart is the craftiness of its sweets, cookies, and the must-try bubble tea served in an eye-catching bulb. The menu is best enjoyed tapas-style—gather a group of friends to embark on a culinary expedition, allowing you to sample the spectrum of sumptuous desserts on offer.

In a nutshell, this dessert hub is the go-to for anyone looking to indulge in artfully crafted confections. Go ahead, give in to your sweet tooth—you won't be disappointed!",1,11.3,29,71.24,10.32,16.875,10.22,34.229725,196.796630859375,54.273994096455574,0.081817626953125,145.46010583520956,0.267608642578125,70.53491090218957,2.094007858664773,-6.0,-86.0,-8.924436059370151,-7.1038538612668845,-0.5042746898920241,-0.4882879371185158,122.34716796875,0.6860198974609375
10043,"I had my doubts. Dig Inn (*ahem*, excuse me, it's much more sophisticatedly-named ""Dig"", now) hires a legitimate chef and suddenly expands its brand to include fine dining? I wasn't convinced. Sure, Dig Inn was my first favorite Chipotle-style, healthy, fast-casual eatery, but I didn't intuitively expect it to master the sit-down experience. Upon further reflection, it makes sense. Farm-to-table is at peak popularity and Dig Inn has supported that movement from the beginning. My sense, at this point, is that Dig smartly tagged a young, ambitious chef (Suzanne Cups) with vision that aligned with the company's values, ultimately let her do her thing, just with the ""Dig"" seal of approval on it. And while there are a few small kinks to work out, 232 Bleecker is doing a lot right. While the name of the restaurant is lazy, the menu is anything but. Veggie-centric with seasonal ingredients and plates great for sharing, the menu is wide-ranging and varied, making great use of all that soil has to offer. The service was just plain bad, to be blunt, but thankfully, that's an easy fix. The vision and concept of 232 Bleecker are outstanding, and that's what counts. Came here with a friend at 8:15 on Saturday. When booking my reservation, the interface enabled me to note whether I'd like chef's counter if available. I never decline a chance at getting a front row seat, so I wrote a little note saying I'd be delightful, if the setup was possible. We walked in, and luck was on our side -- chef's counter it was. 232 Bleecker -- and the name will never let us forget it -- is on a very hot corner. The previous occupant left because I'm sure the rent here is obscene. But this spot will do well -- surrounded by other health-conscious eateries (Bluestone Lane, Jack's Wife Freda, etc.), this is an area with great demand for this type of food. Quick initial plot twist with the alcohol situation here. We were indecisive when it came to drinks, because we hadn't known there was no liquor on the menu before arriving here. Wine/beer/cider only. This means that while there is a cocktail spread, all are made with ingredients likely unfamiliar to many. I've only had a handful of wine-based drinks in my lifetime, and I was never all that thrilled with them. At 232 Bleecker, however, they make it work in really impressive fashion. My friend got the Small Buck (amaro, sweet & dry vermouth, lemon, ginger), which tasted just like a well-executed spicy and rich whiskey drink, minus the whiskey. I ordered the 232 Spritz -(cocchi americano, westbrook gose -- made with cider instead of beer), which was fruity and refreshing. Both good drinks and the low ABV meant we could prance along into the wine section easily. Wine is the specialty here, though there's not a huge amount of variety in what you can order by the glass -- at least in the white wine section. All offerings are dry and crisp except one ""bold and oaky"" chardonnay which is the opposite of my cup of...wine. So we sampled a few other whites, all of which paired nicely with the food. I would like to pause here to say I think I would have enjoyed the drinks more had they not taken so long to come. Is it really that onerous to pour up two glasses and bring them over? We wanted to enjoy our wine with our food, but the constant delays with all of our drinks messed up the tempo and coordination, which was a shame. Our waitress was also generally not too helpful in our decision-making process and didn't seem to value efficiency. But as I said at the onset, this is an easier fix than a flawed menu.So lets get to that food. It was all fantastic. Vegetable-focused, fresh and seasonal ingredients, thoughtful preparations and great flavors. You can get more than enough variety and demonstration of technique ordering from the menu's large veg section alone. Plenty of good proteins for meat-eaters, but those dishes all feature delightful veggies of the rainbow as well. I wish we could've ordered it all, but we did our best. Eats, below:Smoked cod, nori aioli: A-Served with crackers, which are a must. Need that textural variety otherwise this falls a little flat. Still solid, just not as bold or impressive as the other dishes, could have used more nori. Also quite a lot of fish for a ""snack"".Beef tartare, broccoli leave: ARich, yummy, super flavorful and beautifully presented. Served with rice crackers if you want some crunch, but they're not absolutely imperative.Beets, black lentil, fried shallot: A+Sweet, crunchy, rich, salty, everything right going on here. Well-balanced, delicate and still powerful.Brussels sprouts, apple butter, spiced pecan: ARich and warming, far more elevated than any Brussels you'll find at Dig. A perfect winter dish with delightful accompaniments.Charred cauliflower, concord grape, sunflower butter: A+Others have said it, I'll repeat it: this is the star. This is as decadent as vegetables come. Earthy, nutty, sweet. And that char is perfection.",0,9.1,132,73.07,8.74,15.071428571428571,60.54,48.39779,123.89558641975307,58.98468146211333,0.3309876543209876,149.9849115221756,0.3568518518518518,75.61525282419115,2.887238685836989,-45.0,-45.0,-12.00857447793247,-0.5961709698573969,-0.6570741419098791,-0.6579380159331418,137.44518518518518,0.1855864197530864
9291,"From the moment I stepped into this delightful eatery, I was whisked away on a nostalgic journey back to Spain – both in ambiance and taste. Each tapas dish served was a small treasure trove of explosive flavors, exactly as they should be but so often aren't in the bustling New York City food scene. Paired with a crisp glass of cava or a robust red wine, the dining experience was nothing short of sublime. It's been a long time since I've been graced with such authentic and joy-inducing Spanish cuisine. I'm already looking forward to my next visit.",1,10.2,16,76.96,10.7,19.6,6.68,30.212877,150.3666229248047,80.77280561285114,0.461212158203125,161.07281875931756,-0.374908447265625,85.80043326645406,3.347579008630273,-72.0,-72.0,-1.0569824346627144,-2.585185374014344,-0.4573585016980345,-0.4872918189912096,176.07501220703125,0.4473419189453125
3828,"During a recent lunch outing with coworkers at this particular restaurant, we discovered a delightful prix-fixe menu. I savored every bite of the well-seasoned meatballs starter and succulent salmon main course. Moreover, my colleague's choice of the stuffed red peppers was both delicious and satisfying. Unfortunately, another coworker's chicken souvlaki fell short, being somewhat dry and lacking in flavor.

A highlight of our meal was the complimentary bread and pita basket, served with a delectable olive oil dip, which we enjoyed enough to ask for seconds. From previous visits, I can attest that their a la carte dips are nothing short of excellent. This place has its ups and downs, but it's absolutely worth checking out for a meal.",1,11.8,34,54.22,11.84,17.0,9.17,30.50174,147.16468811035156,67.84614025556122,0.4509429931640625,168.41879122839106,0.0045166015625,27.69116399517108,4.553547237122038,-66.0,-66.0,-13.489397028827511,-1.1604993242413857,-0.4743353615647294,-0.4787832778827851,147.32740783691406,0.39556884765625
14184,"I had plans to go to Chick shop today for lunch until I found the place closed online. All the searches (google, yelp) of hummus/falafel places near Grand Central/Times Square led us straight into this place and that's how I decided to try their lunch. I was having a late lunch and it was off time (around 3PM) and I think apart from us, there was 1 more table occupied. Yet, our order took almost 20 minutes to come. May be they are preparing everything fresh hence the delay. The menu looked interesting and there were a few options for vegetarians. I got their free hummus through yelp check in, it was very tasty just like the soft and fluffy pita came along with it. I ordered a cauliflower dish and it was too greasy. My husband ordered the beef kebab platter and he liked it. Overall ok-ish experience.",0,6.9,17,81.73,7.57,14.9,9.72,54.705624,119.68854938271603,66.3027144463742,0.48,167.24361679430024,0.3225308641975308,106.94685338348243,3.5257620750598484,-5.0,-41.0,-0.1298083550127984,-4.032802626354183,-0.7179977353883705,-0.7359781692435877,110.93493827160492,0.2443518518518518
18232,The Emmy burger is fantastic but on the expensive side. They didn't ask what type of cook I wanted so make sure to specify if you want something other than medium / medium rare on the burger. I'll definitely be back to try the delicious looking pizzas.,0,7.3,11,64.41,10.47,15.333333333333334,3.03,57.126415,137.00476666666663,62.08173098201542,0.3194,155.68106929489775,0.5139777777777778,36.89893090531191,4.758167601706277,-16.0,-83.0,-7.144961489069061,-13.111907595259195,-0.418654593742209,-0.3858130963948661,112.75807777777776,0.3054
